"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3133","GET Purchased Details from api","","2026-07-09","passed","2026-07-09","","","",""
"","0","- Register User","","2026-07-09","skipped","2026-07-09","","","",""
"","1","GET resource with query parameters api","","2026-07-09","skipped","2026-07-09","","","",""
"","1","PATCH resource","","2026-07-09","skipped","2026-07-09","","","",""
"","0","PARAM2 - Scenario with simple parameter","","2026-07-09","skipped","2026-07-09","","","",""
"","1","GET single resource api","","2026-07-09","skipped","2026-07-09","","","",""
"","1","7- Read column headers","","2026-07-09","skipped","2026-07-09","","","",""
"","1","22 - Open a new tab and verify the URL of the newly opened tab","","2026-07-09","skipped","2026-07-09","","","",""
"","1","POST Initialize api","","2026-07-09","skipped","2026-07-09","","","",""
"","1","OUT1 - Scenario outline which will run twice -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","0","24 - Retrieve the number of matched elements count -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","20 - Prompt Alert","","2026-07-09","skipped","2026-07-09","","","",""
"","1","PARAM1 - Scenario without parameter","","2026-07-09","skipped","2026-07-09","","","",""
"","1","21 - Open two tabs, switch between them, and verify their URLs","","2026-07-09","skipped","2026-07-09","","","",""
"","0","Invalid GET request","","2026-07-09","skipped","2026-07-09","","","",""
"","1","06 - selection of airline from dropdown -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","03 - Verify text on my bag page","","2026-07-09","skipped","2026-07-09","","","",""
"","1","09 - Refresh airline page -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","8 - Read cell value from invalid sheet","","2026-07-09","skipped","2026-07-09","","","",""
"","0","POST new resource with dynamic payload","","2026-07-09","skipped","2026-07-09","","","",""
"","1","GET Account api","","2026-06-22","skipped","2026-06-22","","","",""
"","2","9 - Read and validate a complete row from Excel","","2026-07-09","skipped","2026-07-09","","","",""
"","0","27 - get title","","2026-07-09","skipped","2026-07-09","","","",""
"","1","OUT2 - Scenario outline with tag on the examples, which will run three times or just once if the tag is used -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","0","1 - Verify excel file exists","","2026-07-09","skipped","2026-07-09","","","",""
"","1","PUT update user with static payload","","2026-07-09","skipped","2026-07-09","","","",""
"","1","02 - enter flight number -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","3","PARAM4 - Scenario with data table parameter","","2026-07-09","skipped","2026-07-09","","","",""
"","0","19 - Confirm Alert - Dismiss","","2026-07-09","skipped","2026-07-09","","","",""
"","9153","I Purchase a product from the practice test application","","2026-07-09","passed","2026-07-09","","","",""
"","2174","Validate the Authorization Token","","2026-07-09","passed","2026-07-09","","","",""
"","1","OUT2 - Scenario outline with tag on the examples, which will run three times or just once if the tag is used -- @1.2 ","","2026-07-09","skipped","2026-07-09","","","",""
"","3","02 - Register User","","2026-06-18","skipped","2026-06-18","","","",""
"","0","Click on the Header Panel Links","","2026-07-09","skipped","2026-07-09","","","",""
"","1","POST new user with static payload api","","2026-07-09","skipped","2026-07-09","","","",""
"","0","05 - Navigated to airline page and airline logo is displayed -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","0","Background scenario one","","2026-07-09","skipped","2026-07-09","","","",""
"","1","11 - clear input field -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","3583","02 - Login User","","2026-06-19","passed","2026-06-19","","","",""
"","3","Post Funds into account","","2026-07-09","skipped","2026-07-09","","","",""
"","0","07 - verify airline selected from dropdown -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","23 - check element present -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","14 - Navigate to url","","2026-07-09","skipped","2026-07-09","","","",""
"","0","4 - Read a cell value from existing Excel file","","2026-07-09","skipped","2026-07-09","","","",""
"","1","18 - Confirm Alert - Accept","","2026-07-09","skipped","2026-07-09","","","",""
"","1","13 - press keys -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","11565","View practice overview","","2026-07-09","passed","2026-07-09","","","",""
"","0","01 - Click on the arrow down button","","2026-07-09","skipped","2026-07-09","","","",""
"","1","GET Account Transactions api","","2026-07-09","skipped","2026-07-09","","","",""
"","2","08 - Verify checkbox is selected -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","BACK02 - Background scenario two","","2026-07-09","skipped","2026-07-09","","","",""
"","33108","- Register User","","2026-06-19","broken","2026-06-19","","","",""
"","1","Get Account balance and Customer id","","2026-07-09","skipped","2026-07-09","","","",""
"","1","DELETE resource","","2026-07-09","skipped","2026-07-09","","","",""
"","1","28 - hover over element","","2026-07-09","skipped","2026-07-09","","","",""
"","3111","01 - Click on the About Us link","","2026-06-17","passed","2026-06-17","","","",""
"","0","26 - wait for url","","2026-07-09","skipped","2026-07-09","","","",""
"","1","10 - Navigate back to homepage -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","25 - get all options -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","View accounts overview","","2026-07-09","skipped","2026-07-09","","","",""
"","0","04 - Get started button displayed on the home page after scrolling","","2026-07-09","skipped","2026-07-09","","","",""
"","1","3 - Get columns count","","2026-07-09","skipped","2026-07-09","","","",""
"","1","OUT2 - Scenario outline with tag on the examples, which will run three times or just once if the tag is used -- @2.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","17 - Delayed Alert","","2026-07-09","skipped","2026-07-09","","","",""
"","1","15 - verify current URL","","2026-07-09","skipped","2026-07-09","","","",""
"","1","16 - Simple Alert","","2026-07-09","skipped","2026-07-09","","","",""
"","3","PARAM3 - Scenario with text parameter","","2026-07-09","skipped","2026-07-09","","","",""
"","0","2 - Get rows Count","","2026-07-09","skipped","2026-07-09","","","",""
"","1","POST Clean api","","2026-07-09","skipped","2026-07-09","","","",""
"","5135","01 - Click on the Header Panel Links","","2026-06-19","passed","2026-06-19","","","",""
"","2","12 - perform double click action -- @1.1 ","","2026-07-09","skipped","2026-07-09","","","",""
"","1","GET Account api","","2026-07-09","skipped","2026-07-09","","","",""
"","2","5 - Write and verify a cell value","","2026-07-09","skipped","2026-07-09","","","",""
"","2","10 - Verify entire column values","","2026-07-09","skipped","2026-07-09","","","",""
"","1","6 - Read a cell value from second sheet","","2026-07-09","skipped","2026-07-09","","","",""
"","1","OUT1 - Scenario outline which will run twice -- @1.2 ","","2026-07-09","skipped","2026-07-09","","","",""
